Time_s,Ground_Truth,Classical_Output,Quantum_Output
0,0,1.52263299352558,0.00728122847239821
0.001,0.0690741618420947,1.6195898609366,0.098868541061414
0.002,0.137903314089692,1.63707546446749,0.0236553663209597
0.003,0.206243693793205,1.65409147097554,0.26168061795963
0.004,0.273854024352822,1.75744656704211,0.506628463792348
0.005,0.34049674138257,1.8951071512454,0.502887318708255
0.006,0.405939197911191,1.93324627127197,0.472544949450344
0.007,0.469954842214423,1.94104995086158,0.488010199518626
0.008,0.532324361728233,2.1015841323329,0.544777740800266
0.009,0.59283678668458,2.09929986148473,0.68275867869079
0.01,0.651290547339292,2.07709546860676,0.882755609585657
0.011,0.707494478924378,2.22973299973361,0.822823605254768
0.012,0.761268768752987,2.32125919039445,0.703818560962133
0.013,0.812445840232687,2.38982649665496,0.876122393295495
0.014,0.860871168899836,2.35589500956649,0.911202426964802
0.015,0.906404025972557,2.36777485517644,0.796187896133513
0.016,0.948918145330021,2.38112717579949,1.00472348897427
0.017,0.988302310259059,2.50354641225011,0.880482293993071
0.018,1.02446085676309,2.55343713454765,1.1175625139411
0.019,1.05731409070046,2.59691227297678,1.03362632631113
0.02,1.08679861650661,1.06762897484899,1.08776349321295
0.021,1.11286757575488,1.09582513452018,0.980932429759374
0.022,1.13549079432028,1.10814717666955,0.968597230677438
0.023,1.15465483742759,1.16174978960839,1.21323140746684
0.024,1.17036297238603,1.14734291935086,1.14692767807753
0.025,1.18263503933412,1.21629964213918,1.08306337388857
0.026,1.19150723083864,1.18662363492116,1.38083054704297
0.027,1.19703178170609,1.16129244595366,1.32122497008246
0.028,1.19927657087262,1.21301204614067,1.11078873086939
0.029,1.19832463773428,1.23353283771209,1.24649345699687
0.03,1.19427361576284,1.23145030050947,1.0551865979336
0.031,1.18723508671852,1.2640056027943,1.13503176686554
0.032,1.17733385921914,1.2277810652165,1.22868230509518
0.033,1.16470717585125,1.15195111433742,1.44848913929425
0.034,1.149503853411,1.16403271585462,1.28020961926224
0.035,1.13188336123923,1.16184735747604,1.15352774312663
0.036,1.11201484296266,1.05372927598303,1.09979756721693
0.037,1.09007608727124,1.14061332144559,1.1079898180513
0.038,1.06625245364691,1.0360510340469,0.935860146345852
0.039,1.04073575921143,1.12115267334723,0.896351330857108
0.04,1.01372313307731,1.09775780909425,0.804782647865357
0.041,0.985415844766828,0.968060704500584,1.02550351659554
0.042,0.956018113406962,0.894991343839591,0.995741543950218
0.043,0.92573590451314,0.895758410163513,1.08132650711003
0.044,0.894775721241051,0.876229104852324,0.807420827204076
0.045,0.86334339701271,0.89759947383372,0.766908924355313
0.046,0.831642896410873,0.844306626154976,0.815055805394367
0.047,0.799875131184479,0.830248379926595,0.738752693925004
0.048,0.768236798117528,0.845042551951929,0.697870588347352
