Metric,Classical,Quantum
SNR (dB) - Step 1-2,11.1529788761801,19.1686366407346
SNR (dB) - Step 3 (w/ Env),5.29648299803597,2.13250411797233
RMS Error - Step 1-2,0.223456697524598,0.0872064248732968
RMS Error - Step 3 (w/ Env),0.442715798971892,0.621133364514827
RMS Error - Step 4 (ADC),1.84537633423793,2.63320161366559
Noise Std Dev (sigma),0.218944731245057,0.087006482316317
