Time_s,Ground_Truth,Classical_Sensor_Steps_1_2,Quantum_Sensor_Steps_1_2,Classical_w_Env_Step_3,Quantum_w_Env_Step_3,Classical_ADC_SAR_Step_4,Quantum_ADC_DS_Step_4
0,0,1.48619511170946,-0.0163303749421656,1.48600638750677,-0.0125135546236671,0.153534521116399,0
0.001,0.0690741618420947,1.54240518895075,0.0973204135799307,1.54105421173617,0.100327459724956,0.888704321515764,1.67578125
0.002,0.137903314089692,1.7164344526696,0.288024870818824,1.71763488345019,0.286029059143394,2.28194009416745,1.98515625
0.003,0.206243693793205,1.74205443714327,0.275517256688748,1.7433451392118,0.272000598309831,3.3,2.93906249999999
0.004,0.273854024352822,1.78691750144685,0.108226915220266,1.78661748281793,0.106729163635198,3.3,3.29999999999999
0.005,0.34049674138257,1.8779026290588,0.673913434744482,1.87965201459149,0.669949613981151,3.3,3.29999999999999
0.006,0.405939197911191,1.81959856575847,0.517769915091608,1.820753850192,0.515538241025184,3.13174202096671,3.29999999999999
0.007,0.469954842214423,1.98222124237861,0.639992974978091,1.98216072403673,0.637668764267374,3.15880276492955,3.29999999999999
0.008,0.532324361728233,2.04766461881992,0.564314127259274,2.04579607997735,0.565155036533914,3.3,3.29999999999999
0.009,0.59283678668458,2.13019762551194,0.545083244541928,2.13215200197908,0.546107793125153,3.3,3.29999999999999
0.01,0.651290547339292,2.11679379488364,0.627664177866331,2.11633407941268,0.627717879160766,3.3,3.29999999999999
0.011,0.707494478924378,2.1888276512497,0.760366086049075,2.18670060406442,0.760100069195624,3.2783806117534,3.29999999999999
0.012,0.761268768752987,2.31484822588061,0.648796056356965,2.31575282969693,0.6475573527588,3.27750937574091,3.29999999999999
0.013,0.812445840232687,2.32245951672656,1.08020599441981,2.32497828789846,1.08234206386024,3.3,3.29999999999999
0.014,0.860871168899836,2.33745244404573,0.807031488487607,2.33751320195132,0.808640474926032,3.3,3.29999999999999
0.015,0.906404025972557,2.4336697380352,0.695145979624893,2.43258438883579,0.697616940265083,3.3,3.29999999999999
0.016,0.948918145330021,2.36409143685277,0.919326506250678,2.36478804889534,0.919985588839307,3.29752098396717,3.29999999999999
0.017,0.988302310259059,2.48126611531193,0.876327069124877,-1.70837284398162,0.875800246516792,2.98918218394438,3.29999999999999
0.018,1.02446085676309,2.52219026277827,1.09657301177965,2.5245254407726,1.1032336861411,1.82941608361589,3.29999999999999
0.019,1.05731409070046,2.54380631713097,1.15692088629325,2.54177086655649,1.15568167951821,0.516286025340226,3.29999999999999
0.02,1.08679861650661,1.07540447367605,0.9994496857044,1.07442101319158,0.998196764964953,0.835932304128212,3.29999999999999
0.021,1.11286757575488,1.10105240251072,1.14021166972988,1.10094697828755,1.13820660663559,2.69973930848311,3.29999999999999
0.022,1.13549079432028,1.18069861335145,1.25540025463721,1.18087309513609,1.25619694248998,3.3,3.29999999999999
0.023,1.15465483742759,1.18206196394762,1.1789610040836,1.18160873265307,1.18106967922632,3.3,3.29999999999999
0.024,1.17036297238603,1.20646921137916,0.936744097266919,1.20527061495673,0.939698332115033,3.2464664677938,3.29999999999999
0.025,1.18263503933412,1.20240252646771,1.35940908200155,1.20167389406719,1.35979830695341,2.99004718001907,3.29999999999999
0.026,1.19150723083864,1.13941611453554,1.33081379177374,1.14124441146482,1.33146078708376,3.18442275823978,3.29999999999999
0.027,1.19703178170609,1.27505807467794,1.21692432696354,1.27569244085879,-1.31045436764281,3.3,3.29999999999999
0.028,1.19927657087262,1.09935515838458,1.28271010702458,1.10039998615063,1.2830577786822,3.3,3.29999999999999
0.029,1.19832463773428,1.24241636709966,1.09217440375608,1.24280758895603,1.09308036466141,3.3,3.29999999999999
0.03,1.19427361576284,1.2082412296274,1.18248435938481,1.21025646996711,1.18183776586972,3.25658100184987,3.29999999999999
0.031,1.18723508671852,1.14332109132309,1.19383358739896,1.14414727527156,1.19060353731469,3.28081510775127,3.29999999999999
0.032,1.17733385921914,1.18879391093998,1.24985580986823,1.18964137247345,1.24795383186871,3.3,3.29999999999999
0.033,1.16470717585125,1.21006476626526,1.17678794583417,1.21076599590176,1.17781709567733,3.3,3.29999999999999
0.034,1.149503853411,1.11233403719334,1.15540021378166,1.11488639704221,1.15661455537279,3.3,3.29999999999999
0.035,1.13188336123923,1.15859397452628,1.17275953897557,1.15748287091182,1.17355841357726,3.29515435293068,3.29999999999999
0.036,1.11201484296266,1.10010019981692,1.14672980008439,1.10120973599121,1.15020809471862,3.29742947503331,3.29999999999999
0.037,1.09007608727124,1.05446104757099,1.2041245840896,1.05522306641068,1.20253007880803,3.3,3.29999999999999
0.038,1.06625245364691,1.09385065311593,1.18254221653542,1.09184074456173,1.18689734566451,3.3,3.29999999999999
0.039,1.04073575921143,1.06233978049299,1.10391113493738,1.0615445459235,1.1064484939393,3.3,3.29999999999999
0.04,1.01372313307731,1.02032612925181,1.00667320319939,1.02086073822613,1.00850629643122,3.29971944153486,3.29999999999999
0.041,0.985415844766828,1.02939227581111,1.11790143928613,1.02958993481397,-0.0569851724365613,3.3,3.29999999999999
0.042,0.956018113406962,1.00957630588093,1.00721664381899,0.503425795552332,1.00885138318829,3.3,3.29999999999999
0.043,0.92573590451314,0.922608902285296,0.947705748643153,0.923858067440577,0.946607951469259,3.29842156313728,3.29999999999999
0.044,0.894775721241051,0.864416109603991,0.958475719946687,0.866802684789518,0.965494862396408,3.2951005708417,3.29999999999999
0.045,0.86334339701271,0.8820598853011,0.863025852188913,0.883319551376047,0.858595312575949,3.29567960864222,3.29999999999999
